id;status;auth_id;currency_code;amount;expiration_time;payment_provider;order_id
1;Computers Lake;Total encompassing;XPD;81239;2022-03-17T10:17:28;PAYPAL;1
2;Chair viral Branding;Carolina;XBD;91289;2022-03-17T23:14:33;PAYPAL;2
3;Passage Ngultrum;Direct Borders;MOP;93666;2022-03-17T19:59:46;PAYPAL;3
4;Buckinghamshire;connect Open-source;XPD;8799;2022-03-18T00:01:08;PAYPAL;4
5;Marketing;structure;XPT;24768;2022-03-17T05:07:24;PAYPAL;5
6;Networked;auxiliary Industrial Fresh;ZAR;135;2022-03-18T01:51:51;PAYPAL;6
7;Automotive Georgia;synthesizing alarm SMS;KMF;51974;2022-03-17T11:49:24;PAYPAL;7
8;multi-byte Administrator;Networked Avon;KHR;98754;2022-03-17T04:33:44;PAYPAL;8
9;integrate;SCSI PCI;SZL;5543;2022-03-17T22:53:35;PAYPAL;9
10;Practical;Nakfa;ISK;49515;2022-03-17T04:29:35;PAYPAL;10
